municipio;obitosAcumulado;maxNovosObitos;data
Abaíra;17;0;2023-12-31
Abaré;18;0;2023-12-31
Acajutiba;28;0;2023-12-31
Adustina;30;0;2023-12-31
Água Fria;13;0;2023-12-31
Aiquara;12;0;2023-12-31
Alagoinhas;373;1;2023-07-08
Alcobaça;33;0;2023-12-31
Almadina;13;0;2023-12-31
Amargosa;71;1;2023-09-30
Amélia Rodrigues;57;0;2023-12-31
América Dourada;14;0;2023-12-31
Anagé;33;0;2023-12-31
Andaraí;15;0;2023-12-31
Andorinha;22;1;2023-12-30
Angical;22;0;2023-12-31
Anguera;6;1;2023-10-07
Antas;15;0;2023-12-31
Antônio Cardoso;13;1;2023-08-05
Antônio Gonçalves;12;0;2023-12-31
Aporá;25;0;2023-12-31
Apuarema;13;0;2023-12-31
Araçás;16;0;2023-12-31
Aracatu;23;0;2023-12-31
Araci;64;0;2023-12-31
Aramari;16;1;2023-08-19
Arataca;17;0;2023-12-31
Aratuípe;15;0;2023-12-31
Aurelino Leal;41;0;2023-12-31
Baianópolis;27;1;2023-07-29
Baixa Grande;28;0;2023-12-31
Banzaê;14;0;2023-12-31
Barra;72;0;2023-12-31
Barra da Estiva;39;0;2023-12-31
Barra do Choça;47;0;2023-12-31
Barra do Mendes;24;0;2023-12-31
Barra do Rocha;8;0;2023-12-31
Barreiras;359;1;2023-12-23
Barro Alto;17;0;2023-12-31
Barrocas;31;1;2023-07-22
Barro Preto;15;0;2023-12-31
Belmonte;33;0;2023-12-31
Belo Campo;23;1;2023-08-19
Biritinga;14;1;2023-07-01
Boa Nova;23;0;2023-12-31
Boa Vista do Tupim;15;0;2023-12-31
Bom Jesus da Lapa;115;1;2023-12-23
Bom Jesus da Serra;13;0;2023-12-31
Boninal;12;1;2023-12-02
Bonito;18;0;2023-12-31
Boquira;30;2;2023-10-21
Botuporã;8;0;2023-12-31
Brejões;20;0;2023-12-31
Brejolândia;13;0;2023-12-31
Brotas de Macaúbas;9;0;2023-12-31
Brumado;212;1;2023-11-25
Buerarema;53;0;2023-12-31
Buritirama;30;1;2023-08-26
Caatiba;17;0;2023-12-31
Cabaceiras do Paraguaçu;8;0;2023-12-31
Cachoeira;34;0;2023-12-31
Caculé;36;1;2023-12-02
Caém;10;0;2023-12-31
Caetanos;15;1;2023-08-19
Caetité;64;1;2023-12-16
Cafarnaum;24;0;2023-12-31
Cairu;19;0;2023-12-31
Caldeirão Grande;7;0;2023-12-31
Camacan;102;0;2023-12-31
Camaçari;708;2;2023-12-30
Camamu;67;0;2023-12-31
Campo Alegre de Lourdes;41;0;2023-12-31
Campo Formoso;85;0;2023-12-31
Canápolis;10;0;2023-12-31
Canarana;46;0;2023-12-31
Canavieiras;91;0;2023-12-31
Candeal;7;0;2023-12-31
Candeias;212;1;2023-08-19
Candiba;23;1;2023-12-16
Cândido Sales;61;0;2023-12-31
Cansanção;48;0;2023-12-31
Canudos;19;0;2023-12-31
Capela do Alto Alegre;23;0;2023-12-31
Capim Grosso;41;0;2023-12-31
Caraíbas;9;0;2023-12-31
Caravelas;18;0;2023-12-31
Cardeal da Silva;8;0;2023-12-31
Carinhanha;35;0;2023-12-31
Casa Nova;81;0;2023-12-31
Castro Alves;45;0;2023-12-31
Catolândia;2;1;2023-09-30
Catu;112;0;2023-12-31
Caturama;11;0;2023-12-31
Central;20;0;2023-12-31
Chorrochó;17;1;2023-10-14
Cícero Dantas;63;1;2023-08-05
Cipó;19;0;2023-12-31
Coaraci;60;1;2023-12-30
Cocos;25;0;2023-12-31
Conceição da Feira;35;0;2023-12-31
Conceição do Almeida;34;0;2023-12-31
Conceição do Coité;59;0;2023-12-31
Conceição do Jacuípe;49;0;2023-12-31
Conde;18;0;2023-12-31
Condeúba;36;1;2023-11-25
Contendas do Sincorá;7;0;2023-12-31
Coração de Maria;27;0;2023-12-31
Cordeiros;10;0;2023-12-31
Coribe;23;0;2023-12-31
Coronel João Sá;21;0;2023-12-31
Correntina;51;0;2023-12-31
Cotegipe;26;0;2023-12-31
Cravolândia;2;0;2023-12-31
Crisópolis;20;0;2023-12-31
Cristópolis;11;0;2023-12-31
Cruz das Almas;82;1;2023-09-30
Curaçá;41;0;2023-12-31
Dário Meira;23;0;2023-12-31
Dias d'Ávila;191;1;2023-12-30
Dom Basílio;19;0;2023-12-31
Dom Macedo Costa;10;0;2023-12-31
Elísio Medrado;10;0;2023-12-31
Encruzilhada;25;1;2023-11-25
Entre Rios;53;0;2023-12-31
Érico Cardoso;6;0;2023-12-31
Esplanada;39;1;2023-12-09
Euclides da Cunha;71;0;2023-12-31
Eunápolis;268;1;2023-11-11
Fátima;19;0;2023-12-31
Feira da Mata;6;0;2023-12-31
Feira de Santana;1228;4;2023-12-09
Filadélfia;37;0;2023-12-31
Firmino Alves;14;0;2023-12-31
Floresta Azul;24;0;2023-12-31
Formosa do Rio Preto;37;0;2023-12-31
Gandu;67;1;2023-07-22
Gavião;5;0;2023-12-31
Gentio do Ouro;13;0;2023-12-31
Glória;26;0;2023-12-31
Gongogi;20;0;2023-12-31
Governador Mangabeira;24;0;2023-12-31
Guajeru;10;0;2023-12-31
Guanambi;163;2;2023-12-23
Guaratinga;51;0;2023-12-31
Heliópolis;16;0;2023-12-31
Iaçu;55;1;2023-12-02
Ibiassucê;11;0;2023-12-31
Ibicaraí;77;0;2023-12-31
Ibicoara;14;0;2023-12-31
Ibicuí;30;0;2023-12-31
Ibipeba;14;0;2023-12-31
Ibipitanga;26;0;2023-12-31
Ibiquera;6;0;2023-12-31
Ibirapitanga;47;0;2023-12-31
Ibirapuã;19;0;2023-12-31
Ibirataia;50;0;2023-12-31
Ibitiara;14;0;2023-12-31
Ibititá;32;0;2023-12-31
Ibotirama;57;0;2023-12-31
Ichu;4;0;2023-12-31
Igaporã;25;0;2023-12-31
Igrapiúna;14;0;2023-12-31
Iguaí;43;1;2023-07-15
Ilhéus;651;0;2023-12-31
Inhambupe;53;0;2023-12-31
Ipecaetá;13;0;2023-12-31
Ipiaú;101;0;2023-12-31
Ipirá;80;0;2023-12-31
Ipupiara;7;0;2023-12-31
Irajuba;2;0;2023-12-31
Iramaia;17;0;2023-12-31
Iraquara;23;0;2023-12-31
Irará;37;3;2023-12-09
Irecê;172;1;2023-12-09
Itabela;80;0;2023-12-31
Itaberaba;178;1;2023-12-30
Itabuna;817;1;2023-12-23
Itacaré;33;1;2023-07-01
Itaeté;13;0;2023-12-31
Itagibá;33;0;2023-12-31
Itagi;26;0;2023-12-31
Itagimirim;16;1;2023-08-12
Itaguaçu da Bahia;10;0;2023-12-31
Itaju do Colônia;9;0;2023-12-31
Itajuípe;64;0;2023-12-31
Itamaraju;172;1;2023-11-25
Itamari;13;0;2023-12-31
Itambé;27;0;2023-12-31
Itanagra;9;0;2023-12-31
Itanhém;42;0;2023-12-31
Itaparica;43;1;2023-07-01
Itapebi;28;0;2023-12-31
Itapé;34;0;2023-12-31
Itapetinga;186;1;2023-12-09
Itapicuru;27;0;2023-12-31
Itapitanga;17;0;2023-12-31
Itaquara;10;0;2023-12-31
Itarantim;40;1;2023-08-05
Itatim;29;0;2023-12-31
Itiruçu;28;0;2023-12-31
Itiúba;49;0;2023-12-31
Itororó;41;0;2023-12-31
Ituaçu;34;0;2023-12-31
Ituberá;58;0;2023-12-31
Iuiu;15;0;2023-12-31
Jaborandi;10;0;2023-12-31
Jacaraci;38;1;2023-11-11
Jacobina;134;0;2023-12-31
Jaguaquara;67;0;2023-12-31
Jaguarari;61;0;2023-12-31
Jaguaripe;27;1;2023-12-02
Jandaíra;15;0;2023-12-31
Jequié;445;3;2023-08-12
Jeremoabo;53;0;2023-12-31
Jiquiriçá;32;1;2023-07-01
Jitaúna;31;0;2023-12-31
João Dourado;61;0;2023-12-31
Juazeiro;498;1;2023-08-19
Jucuruçu;14;0;2023-12-31
Jussara;17;0;2023-12-31
Jussari;12;0;2023-12-31
Jussiape;10;0;2023-12-31
Lafaiete Coutinho;9;0;2023-12-31
Lagoa Real;15;1;2023-12-09
Laje;46;0;2023-12-31
Lajedão;11;1;2023-12-02
Lajedinho;1;0;2023-12-31
Lajedo do Tabocal;15;1;2023-07-29
Lamarão;8;0;2023-12-31
Lapão;37;0;2023-12-31
Lauro de Freitas;596;1;2023-12-16
Lençóis;23;0;2023-12-31
Licínio de Almeida;14;0;2023-12-31
Livramento de Nossa Senhora;93;0;2023-12-31
Luís Eduardo Magalhães;162;0;2023-12-31
Macajuba;15;0;2023-12-31
Macarani;32;0;2023-12-31
Macaúbas;39;1;2023-11-18
Macururé;12;0;2023-12-31
Madre de Deus;51;1;2023-12-16
Maetinga;10;0;2023-12-31
Maiquinique;16;1;2023-11-18
Mairi;22;1;2023-11-18
Malhada;24;0;2023-12-31
Malhada de Pedras;16;0;2023-12-31
Manoel Vitorino;36;0;2023-12-31
Mansidão;12;1;2023-08-12
Maracás;82;0;2023-12-31
Maragogipe;59;0;2023-12-31
Maraú;22;0;2023-12-31
Marcionílio Souza;24;0;2023-12-31
Mascote;29;1;2023-08-12
Mata de São João;80;0;2023-12-31
Matina;14;1;2023-09-09
Medeiros Neto;65;0;2023-12-31
Miguel Calmon;42;1;2023-07-01
Milagres;9;0;2023-12-31
Mirangaba;11;0;2023-12-31
Mirante;9;0;2023-12-31
Monte Santo;71;1;2023-12-09
Morpará;15;0;2023-12-31
Morro do Chapéu;36;1;2023-11-25
Mortugaba;20;0;2023-12-31
Mucugê;14;0;2023-12-31
Mucuri;80;0;2023-12-31
Mulungu do Morro;24;1;2023-12-23
Mundo Novo;17;0;2023-12-31
Muniz Ferreira;3;0;2023-12-31
Muquém do São Francisco;8;0;2023-12-31
Muritiba;37;1;2023-10-28
Mutuípe;33;0;2023-12-31
Nazaré;61;1;2023-09-16
Nilo Peçanha;21;0;2023-12-31
Nordestina;32;0;2023-12-31
Nova Canaã;27;0;2023-12-31
Nova Fátima;6;0;2023-12-31
Nova Ibiá;24;0;2023-12-31
Nova Itarana;10;0;2023-12-31
Nova Redenção;10;0;2023-12-31
Nova Soure;32;0;2023-12-31
Nova Viçosa;77;1;2023-08-05
Novo Horizonte;12;0;2023-12-31
Novo Triunfo;14;0;2023-12-31
Olindina;31;0;2023-12-31
Oliveira dos Brejinhos;26;0;2023-12-31
Ouriçangas;13;0;2023-12-31
Ourolândia;16;0;2023-12-31
Palmas de Monte Alto;23;1;2023-12-09
Palmeiras;12;0;2023-12-31
Paramirim;23;0;2023-12-31
